TAXON,FAD,LAD
Palaeotherium_medium,47.8,28.4
Palaeotherium_muehlbergi,41.3,33.9
Paleotomus_radagasti,61.7,55.8
Pantolambda_bathmodon,64.6,61.7
Pantolambda_cavirictus,64.6,56.8
Pantolestes_natans,46.2,33.9
Parabrontops_gobiensis,37.2,33.9
Paraceratherium_grangeri,37.2,28.4
Paramys_delicatus,55.8,46.2
Pararyctes_pattersoni,64.6,56.8
Paromomys_depressidens,64.6,56.8
Paroodectes_feisti,48.6,46
Paroxacron_valdense,38,33.9
Patriofelis_ferox,50.3,40.4
Patriofelis_ulta,50.3,46.2
Peligrotherium_tropicalis,64.6,61.6
Pentacemylus_leotensis,46.2,40.4
Peramus_tenuirostris,145,140.2
Peratherium_perrierense,38,23.03
Perchoerus_probus,46.2,30.8
Periptychus_carinidens,63.3,56.8
Periptychus_coarctatus,66,61.7
Phascolestes_mustelula,145,140.2
Phenacodus_primaevus,61.7,56.8
Phenacolemur_pagei,61.7,55.8
Pholidocercus_hassiacus,48.6,46
Phosphatherium_escuilliei,56,47.8
Platychoerops_daubrei,56,47.8
Plesiadapis_cookei,58.7,55.8
Plesiadapis_fodinatus,61.7,55.8
Plesiadapis_rex,61.7,56.8
Plesiadapis_tricuspidens,59.2,47.8
Plesiolestes_problematicus,64.6,56.8
Praolestes_maximus,58.7,55.8
Premonycteris_vesper,50.3,47.8
Probathyopsis_harrisorum,61.7,55.8
Probathyopsis_praecursor,56.8,55.8
Procerberus_formicarum,66,64.6
Procynodictis_progressus,46.2,40.4
Prodiacodon_paucus,61.7,56.8
Prodiacodon_tauricinerei,61.7,48.6
Prolimnocyon_atavus,56.8,48.6
Propalaeanodon_schaffi,61.7,56.8
Prothryptacodon_ambiguus,64.6,61.7
Protitan_grangeri,48.6,37.2
Protitanotherium_emarginatum,46.2,40.4
Protoptychus_hatcheri,46.2,40.4
Protoreodon_parvus,46.2,40.4
Protoreodon_petersoni,46.2,33.9
Protoreodon_pumilus,46.2,37.2
Protungulatum_donnae,66,64.6
Pseudotomus_horribilis,50.3,46.2
Pseudotomus_petersoni,46.2,37.2
Pseudotomus_robustus,50.3,46.2
Psittacotherium_multifragum,64.6,56.8
Pterodon_dasyuroides,37.2,33.9
Pterodon_hyaenoides,48.6,37.2
Pucadelphys_andinus,66,64.6
Reithroparamys_delicatissimus,50.3,40.4
Reithroparamys_huerfanensis,50.3,46.2
Rhinotitan_kaiseni,41.3,38
Rhinotitan_mongoliensis,41.3,38
Rhombomylus_turpanensis,55.8,48.6
Sarcodon_pygmaeus,58.7,55.8
Sarkastodon_mongoliensis,48.6,37.2
Sasayamamylos_kawaii,112.03,109
Saxonella_crepaturae,61.7,59.2
Sciuravus_nitidus,55.8,40.4
Sigynorum_magnadivisus,66,64.6
Sinclairella_dakotensis,37.2,30.8
Sinodelphys_szalayi,125.5,122.5
Sinonyx_jiashanensis,58.7,55.8
Sinopa_grangeri,50.3,46.2
Sinopa_major,50.3,40.4
Sinopa_rapax,50.3,46.2
Smilodectes_gracilis,50.3,46.2
Spalacotherium_tricuspidens,145,136.4
Sphenocoelus_uintensis,46.2,40.4
Stehlinia_minor,38,33.9
Stehlinia_quercyi,38,33.9
Sthenodectes_incisivum,46.2,40.4
Stylinodon_mirus,55.8,40.4
Symmetrolestes_parvus,125,113
Tachypteron_franzeni,48.6,46
Telmatherium_validus,50.3,37.2
Tendagurutherium_dietrichi,157.7,150.8
Tetragonostylops_apthomasi,58.7,37.2
Thomashuxleya_externa,48.6,37.2
Thryptacodon_australis,61.7,55.8
Thryptacodon_pseudarctos,61.7,55.8
Tillodon_fodiens,50.3,46.2
Tinodon_bellus,157.3,145
Titanoides_primaevus,61.7,55.8
Trigonostylops_wortmani,48.6,37.2
Triisodon_quivirensis,64.6,61.7
Triplopus_obliquidens,46.2,40.4
Tritemnodon_agilis,50.3,46.2
Tritemnodon_hians,55.8,50.3
Tritemnodon_strenuus,55.8,46.2
Trogosus_grangeri,50.3,46.2
Trogosus_hyracoides,50.3,46.2
Tubulodon_pearcei,55.8,50.3
Uchkudukodon_nessovi,93.9,89.3
Uintacyon_massetericus,55.8,50.3
Uintatherium_anceps,50.3,40.4
Ukhaatherium_nessovi,76,71
Utaetus_buccatus,48.6,33.9
Vassacyon_promicrodon,55.8,48.6
Vaylatsia_frequens,38,30.2
Vespertiliavus_wingei,38,33.9
Vincelestes_neuquenianus,129.4,122.46
Voltaia_minuta,58.7,55.8
Vulpavus_canavus,55.8,46.2
Vulpavus_profectus,50.3,46.2
Wickia_brevirhinus,46.2,40.4
Wortmania_otariidens,66,64.6
Zalambdalestes_lechei,76,71
Zhangheotherium_quinquecuspidens,126,123
Zhelestes_temirkazyk,93.9,86.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Many FAD and LAD ages that are different than those in PBDB are based on Grossnickle & Newham 2016 (and sources within) and additional sources such as Goin et al. 2016,
