Taxon,FAD,LAD
Kennatherium_shirensis,48.6,37.2
Kiyatherium_cardiodens,129.4,122
Kombuisia_antarctica,251.902,251.2
Kombuisia_frerensis,251.2,242
Kopidodon_macrognathus,48.6,46
Krebsotherium_lusitanicum,157.3,152.1
Kuehneotherium_praecursoris,227,201.3
Kulbeckia_kulbecke,93.9,83.5
Kwazulusaurus_shakai,259.1,251.902
Labidolemur_kayi,61.7,50.3
Labidosaurus_hamatus,277,277
Lactodens_sheni,125,113
Lambdotherium_popoagicum,55.8,46.2
Langbergia_modisei,251.2,247.2
Lanthanostegus_mohoii,265.1,259.1
Laolestes_eminens,157.3,145
Lapichiropteryx_xiei,48.6,37.2
Lemurosaurus_pricei,255,255
Lende_chiweta,259.1,254.14
Leontosaurus_vanderhorsti,259.1,251.902
Leptadapis_magnus,41.3,33.9
Leptictidium_nasutum,48.6,46
Leptictis_dakotensis,37.2,30.8
Leptolambda_churchilli,61.7,55.8
Leptomeryx_evansi,37.2,30.8
Leptoreodon_marshi,46.2,40.4
Leptotomus_costilloi,55.8,50.3
Leptotracheliscops_eupachygnathus,259,254
Leucocephalus_wewersi,258,258
Limnocyon_medius,50.3,46.2
Limnocyon_velox,50.3,40.4
Limnocyon_verus,50.3,46.2
Litocherus_notissimus,61.7,56.8
Litolestes_ignotus,61.7,55.8
Litolestes_notissimus,61.7,56.8
Lophialetes_expeditus,48.6,37.2
Lotheridium_mengi,70.6,66
Loxolophus_hyattianus,66,64.6
Lycophocyon_hutchisoni,46.2,37.2
Lystrosaurus_broomi,252.2,251.2
Lystrosaurus_platyceps,254.14,251.2
Lystrosaurus_shichanggouensis,252.2,251.2
Lystrosaurus_youngi,252.3,251.3
Machaeroides_eothen,50.3,46.2
Macromerion_schwartzenbergii,307,298.9
Maelestes_gobiensis,76,71
Mahgarita_stevensi,46.2,37.2
Maiorana_noctiluca,66,64.6
Mandagomphodon_attridgei,247.2,237
Mandagomphodon_hirschoni,247.2,237
Mandagomphodon_hirschsoni,247.2,237
Maotherium_asiaticus,127,123.5
Maotherium_sinense,126,123
Marcgodinotius_indicus,56,50.3
Margerita_stevensi,46.2,37.2
Masrasector_nananubis,33.9,28.1
Massetognathus_ochagaviae,242,227
Massetognathus_pascuali,242,227
