Taxon,FAD,LAD
Chriacus_katrinae,63.3,61.7
Chronolestes_simul,55.8,48.6
Chthonosaurus_velocidens,259.1,251.902
Chulsanbaatar_vulgaris,84.9,70.6
Cifelliodon_wahkarmoosuch,130,122.46
Cimolestes_cuspulus,58.7,55.8
Cimolestes_incisus,66.043,55.8
Cimolestes_stirtoni,70.6,66.043
Cistecephaloides_boonstrai,259.1,254.14
Cistecephalus_microrhinus,259.1,254.14
Claenodon_ferox,64.6,56.8
Claenodon_latidens,84.9,66.043
Claenodon_montanensis,64.6,56.8
Clelandina_rubidgei,259.1,251.902
Clepsydrops_collettii,307,303.7
Clepsydrops_magnus,307,298.9
Clepsydrops_vinslovii,307,303.7
Cocomys_lingchaensis,55.8,48.6
Colbertia_magellanica,55,50
Colobodectes_cluveri,265.1,259.1
Coloniatherium_cilinskii,84.9,66.043
Comotherium_richi,155.7,145.5
Compsodon_helmoedi,259.1,251.902
Conacodon_cophater,66.043,63.3
Conacodon_delphae,66.043,63.3
Conacodon_harbourae,66.043,63.3
Conacodon_kohlbergeri,66.043,63.3
Conacodon_matthewi,66.043,63.3
Conoryctes_comma,64.6,61.7
Copecion_brachypternus,61.7,50.3
Copecion_davisi,55.8,50.3
Coriphagus_encinensis,64.6,61.7
Coriphagus_montanus,64.6,61.7
Coryphodon_armatus,50.3,48.6
Coryphodon_eocaenus,55.8,50.3
Coryphodon_flerowi,48.6,37.2
Coryphodon_gosseleti,55.8,48.6
Coryphodon_lobatus,55.8,48.6
Coryphodon_oweni,55.8,48.6
Coryphodon_pisuqti,55.8,50.3
Coryphodon_proterus,56.8,55.8
Coryphodon_radians,55.8,50.3
Coryphodon_spp,56,48.6
Coryphodon_ventanus,55.8,48.6
Cotylorhynchus_bransoni,272.95,268.8
Cotylorhynchus_hancocki,272.95,268.8
Cotylorhynchus_romeri,283.5,272.95
Counillonia_superoculis,252.3,247.2
Cricodon_kannemeyeri,247.2,242
Cricodon_metabolus,247.2,237
Cricodon_spp,237,237
Criocephalosaurus_spp,265.1,259.1
Cronopio_dentiacutus,99.6,93.5
Crusafontia_cuencana,130,125.45
Cryptovenator_hirschbergeri,303.7,298.9
Ctenorhachis_jacksoni,290.1,272.95
Ctenospndylus_spp,295,272.95
Ctenospondylus_casei,290.1,272.95
Ctenospondylus_ninevehensis,295,290.1
Cutleria_wilmarthi,298.9,295
Cylindrodon_fontis,37.2,33.9
Cynognathus_crateronotus,251.2,237
Cynosaurus_suppostus,252,252
Cyonosaurus_longiceps,259,254
Cyonosaurus_rubidgei,259,252.3
Cyriacotherium_argyreum,56.8,55.8
Cyriacotherium_psamminum,56.8,55.8
Dadadon_isaloi,242,227
Dakotadens_morrowi,99.7,94.3
Dakotadens_pertritus,105.3,94.3
Daphoenus_vetus,33.9,33.3
Daptocephalus_leoniceps,259.1,251.902
Daqingshanodon_limbus,254.14,251.902
Dasypus_novemcinctus,0.012,0
Dasyurus_maculatus,0.126,0
Dasyurus_viverrinus,0.126,0.012
Datheosaurus_macrourus,303.7,298.9
Daulestes_inobservabilis,94.3,89.3
Daulestes_kulbeckensis,94.3,89.3
Delectosaurus_arefjevi,254.14,251.902
Delectosaurus_berezhanensis,254.14,251.902
Delphinognathus_conocephalus,265.1,259.1
Deltatheridium_nessovi,84.9,70.6
Deltatheridium_pretrituberculare,76,70
Deltatherium_fundaminis,64.6,61.7
Deltatheroides_cretacicus,84.9,70.6
Dendromaia_unamakiensis,314.6,306.95
Desmana_inflata,5.332,2.588
Desmana_kowalskae,4.2,3.2
Desmana_moschata,0.781,0.126
Desmana_nehringi,4.9,0.781
Desmana_thermalis,2.588,0.126
Desmana_verestchagini,5.332,3.2
Desmatoclaenus_dianae,66.043,63.3
Desmatoclaenus_hermaeus,63.3,61.7
Desmatoclaenus_mearae,61.7,56.8
Desmatoclaenus_protogonioides,66.043,63.3
Diacodexis_antunesi,55.8,48.6
Diacodexis_gazini,55.8,48.6
Diadectes,276,276
Diademodon_tetragonus,251.2,237
Dianzhongia_longirostrata,199.3,182.7
Diarthrognathus_broomi,201.3,190.8
Dichobune_leporina,33.9,28.4
