Genus_species,Taxon_1,Taxon_2,Genus_FAD,Genus_LAD
Stehlinia_minor,,,42.7,28.1
Stehlinia_quercyi,,,42.7,28.1
Sthenodectes_incisivum,,,46.2,40.4
Stylinodon_mirus,,,55.8,40.4
Symmetrolestes_parvus,,,125,113
Tachypteron_franzeni,,,48.6,46
Telmatherium_validus,,,50.3,37.2
Tendagurutherium_dietrichi,,,157.7,150.8
Tetragonostylops_apthomasi,,,58.7,37.2
Thomashuxleya_externa,,,55.8,37.2
Thryptacodon_australis,,,64.6,46.2
Thryptacodon_pseudarctos,,,64.6,46.2
Tillodon_fodiens,,,50.3,46.2
Tinodon_bellus,,,161.2,140.2
Titanoides_primaevus,,,61.7,55.8
Trigonostylops_wortmani,,,59,33.9
Triisodon_quivirensis,,,64.6,61.7
Triplopus_obliquidens,,,48.6,33.9
Tritemnodon_agilis,,,55.8,46.2
Tritemnodon_hians,,,55.8,46.2
Tritemnodon_strenuus,,,55.8,46.2
Trogosus_grangeri,,,55.8,41
Trogosus_hyracoides,,,55.8,41
Tubulodon_pearcei,,,55.8,46.2
Uchkudukodon_nessovi,,,93.9,89.3
Uintacyon_massetericus,,,58.7,46.2
Uintatherium_anceps,,,55.8,37.2
Ukhaatherium_nessovi,,,76,71
Utaetus_buccatus,,,48.6,33.9
Vassacyon_promicrodon,,,58.7,46.2
Vaylatsia_frequens,,,38,28.1
Vespertiliavus_wingei,,,48.6,5.3
Vincelestes_neuquenianus,,,129.4,122.46
Voltaia_minuta,,,58.7,55.8
Vulpavus_canavus,,,55.8,46.2
Vulpavus_profectus,,,55.8,46.2
Wickia_brevirhinus,,,46.2,40.4
Wortmania_otariidens,,,66,64.6
Zalambdalestes_lechei,,,76,71
Zhangheotherium_quinquecuspidens,,,126,123
Zhelestes_temirkazyk,,,93.9,86.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
