Taxon,FAD,LAD
Trichasaurus_texensis,283.5,272.95
Trirachodon_spp,251.2,237
Trirachodon_berryi,247.2,242
Tritheledon_riconoi,201.3,190.8
Tritylodon_longaevus,190,190
Tropidostoma_dubium,259.1,254.14
Trucidocynodon_riograndensis,237,227
Vivaxosaurus_trautscholdi,259.1,251.902
Wadiasaurus_indicus,247.2,237
Watongia_meieri,272.95,268.8
Xenocretosuchus_sibiricus,129.4,113
Xiukannemeyeria_brevirostris,251.2,242
Xiyukannemeyeria_brevirostris,251.2,242
Youngina_capensis,253.48,253.48
Yuanotherium_spp,163.5,157.3
Yuanotherium_minor,163.5,157.3
Yunannodon_brevirostre,199.3,182.7
Yunnanodon_brevirostre,199.3,182.7
Zambiasaurus_submersus,247.2,237
Lystrosaurus_broomi,252.2,251.2
Lystrosaurus_platyceps,254.14,251.2
Xyrospondylus_ecordi,305.9,303.4
Kannemeyeria_vjuschkovi,251.2,242
